Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,08 mm"
"8,18","31,3","0,7","1,8",,,,
"8,2","31,35","0,7","1,9",,,,
"8,22","31,4","0,7","1,8",,,,
"8,24","31,45","0,7","1,9",,,,
"8,26","31,51","0,7","1,9",,,,
"8,28","31,56","0,7","1,9",,,,
"8,3","31,61","0,7","1,9",,,,
"8,32","31,66","0,7","1,9",,,,
"8,34","31,71","0,8","1,9",,,,
"8,36","31,75","0,7","1,9",,,,
"8,38","31,8","0,8","1,9",,,,
"8,4","31,85","0,8","1,9",,,,
"8,42","31,9","0,7","1,9",,,,
"8,44","31,96","0,7","1,9",,,,
"8,46","32,03","0,7","1,9",,,,
"8,48","32,1","0,7","1,9",,,,
"8,5","32,18","0,7","1,9",,,,
"8,52","32,26","0,7","1,8",,,,
"8,54","32,35","0,7","1,8",,,,
"8,56","32,45","0,7","1,8",,,,
"8,58","32,55","0,7","1,8",,,,
"8,6","32,63","0,7","1,8",,,,
"8,62","32,71","0,7","1,8",,,,
"8,64","32,79","0,7","1,8",,,,
"8,66","32,86","0,7","1,8",,,,
"8,68","32,94","0,7","1,8",,,,
"8,7","33,01","0,7","1,8",,,,
"8,72","33,07","0,7","1,8",,,,
"8,74","33,12","0,7","1,8",,,,
"8,76","33,18","0,7","1,8",,,,
"8,78","33,22","0,7","1,8",,,,
"8,8","33,26","0,7","1,8",,,,
"8,82","33,3","0,7","1,8",,,,
"8,84","33,34","0,7","1,8",,,,
"8,86","33,39","0,7","1,8",,,,
"8,88","33,44","0,7","1,8",,,,
"8,9","33,5","0,7","1,8",,,,
"8,92","33,55","0,7","1,8",,,,
"8,94","33,59","0,7","1,8",,,,
"8,96","33,64","0,7","1,8",,,,
"8,98","33,68","0,7","1,8",,,,
9,"33,72","0,7","1,8",,,,
"9,02","33,77","0,7","1,9",,,,
"9,04","33,82","0,7","1,9",,,,
"9,06","33,87","0,7","1,9",,,,
"9,08","33,92","0,7","1,9",,,,
"9,1","33,97","0,7","1,9",,,,
"9,12","34,04","0,7","1,9",,,,
"9,14","34,1","0,8","1,9",,,,
"9,16","34,16","0,8","1,9",,,,
"9,18","34,23","0,8","1,9",,,,
"9,2","34,31","0,8","1,9",,,,
"9,22","34,41","0,8","1,9",,,,
"9,24","34,51","0,8","1,9",,,,
"9,26","34,61","0,7","1,9",,,,
"9,28","34,72","0,7","1,8",,,,
"9,3","34,82","0,7","1,8",,,,
"9,32","34,9","0,7","1,9",,,,
"9,34","34,98","0,8","1,9",,,,
"9,36","35,07","0,8","1,9",,,,
"9,38","35,17","0,8","1,9",,,,
"9,4","35,27","0,9",2,,,,
"9,42","35,37","0,9",2,,,,
"9,44","35,47","0,9",2,,,,
"9,46","35,57","0,9","1,9",,,,
"9,48","35,68","0,8","1,9",,,,
"9,5","35,79","0,7","1,9",,,,
"9,52","35,9","0,7","1,8",,,,
"9,54","36,01","0,7","1,8",,,,
"9,56","36,13","0,7","1,9",,,,
"9,58","36,24","0,8","1,9",,,,
"9,6","36,36","0,9",2,,,,
"9,62","36,48",1,2,,,,
"9,64","36,6",1,2,,,,
"9,66","36,72","0,9",2,,,,
"9,68","36,84","0,8","1,9",,,,
"9,7","36,96","0,8","1,9",,,,
"9,72","37,07","0,7","1,8",,,,
"9,74","37,2","0,7","1,8",,,,
"9,76","37,32","0,8","1,9",,,,
"9,78","37,45","0,8","1,9",,,,
"9,8","37,58","0,9",2,,,,
"9,82","37,71",1,2,,,,
"9,84","37,82","0,9",2,,,,
"9,86","37,95","0,8","1,9",,,,
"9,88","38,07","0,8","1,9",,,,
"9,9","38,18","0,7","1,8",,,,
"9,92","38,29","0,7","1,8",,,,
"9,94","38,39","0,7","1,9",,,,
"9,96","38,49","0,7","1,9",,,,
"9,98","38,58","0,8","1,9",,,,
10,"38,65","0,8","1,9",,,,
"10,02","38,74","0,8","1,9",,,,
"10,04","38,83","0,8","1,9",,,,
"10,06","38,93","0,8","1,9",,,,
"10,08","39,02","0,8","1,9",,,,
"10,1","39,11","0,7","1,9",,,,
"10,12","39,19","0,7","1,9",,,,
"10,14","39,28","0,7","1,8",,,,
"10,16","39,36","0,7","1,8",,,,
"10,18","39,47","0,7","1,8",,,,
"10,2","39,56","0,7","1,8",,,,
"10,22","39,65","0,7","1,8",,,,
"10,24","39,72","0,7","1,9",,,,
"10,26","39,79","0,7","1,9",,,,
"10,28","39,86","0,7","1,8",,,,
"10,3","39,93","0,7","1,8",,,,
"10,32","40,01","0,7","1,8",,,,
"10,34","40,09","0,7","1,8",,,,
"10,36","40,16","0,7","1,8",,,,
"10,38","40,22","0,7","1,8",,,,
"10,4","40,3","0,7","1,8",,,,
