Time (s) Run #1,Position (mm) Run #1,Light Intensity (%) Run #1,Log of Light Intensity Run #1,,,,"ampiezza fenditure: 0,16 mm"
"9,32","27,15","0,8","1,9",,,,
"9,34","27,22","0,8","1,9",,,,
"9,36","27,29","0,9","1,9",,,,
"9,38","27,37","0,8","1,9",,,,
"9,4","27,44","0,8","1,9",,,,
"9,42","27,5","0,8","1,9",,,,
"9,44","27,56","0,8","1,9",,,,
"9,46","27,62","0,8","1,9",,,,
"9,48","27,69","0,8","1,9",,,,
"9,5","27,74","0,8","1,9",,,,
"9,52","27,8","0,8","1,9",,,,
"9,54","27,86","0,8","1,9",,,,
"9,56","27,92","0,8","1,9",,,,
"9,58","27,99","0,8","1,9",,,,
"9,6","28,05","0,8","1,9",,,,
"9,62","28,12","0,8","1,9",,,,
"9,64","28,19","0,8","1,9",,,,
"9,66","28,28","0,8","1,9",,,,
"9,68","28,36","0,8","1,9",,,,
"9,7","28,45","0,8","1,9",,,,
"9,72","28,54","0,8","1,9",,,,
"9,74","28,63","0,8","1,9",,,,
"9,76","28,72","0,8","1,9",,,,
"9,78","28,8","0,8","1,9",,,,
"9,8","28,87","0,8","1,9",,,,
"9,82","28,93","0,8","1,9",,,,
"9,84",29,"0,8","1,9",,,,
"9,86","29,08","0,8","1,9",,,,
"9,88","29,16","0,8","1,9",,,,
"9,9","29,24","0,8","1,9",,,,
"9,92","29,31","0,8","1,9",,,,
"9,94","29,37","0,8","1,9",,,,
"9,96","29,42","0,9","1,9",,,,
"9,98","29,46","0,9","1,9",,,,
10,"29,49","0,8","1,9",,,,
"10,02","29,53","0,9","1,9",,,,
"10,04","29,56","0,9","1,9",,,,
"10,06","29,6","0,9","1,9",,,,
"10,08","29,66","0,9","1,9",,,,
"10,1","29,71","0,9","1,9",,,,
"10,12","29,76","0,9","1,9",,,,
"10,14","29,83","0,9","1,9",,,,
"10,16","29,9","0,9","1,9",,,,
"10,18","29,98","0,9","1,9",,,,
"10,2","30,05","0,9","1,9",,,,
"10,22","30,12","0,9","1,9",,,,
"10,24","30,19","0,9","1,9",,,,
"10,26","30,27","0,9","1,9",,,,
"10,28","30,34","0,9","1,9",,,,
"10,3","30,43","0,9","1,9",,,,
"10,32","30,51","0,9","1,9",,,,
"10,34","30,6","0,9","1,9",,,,
